Set	Cue	Assoc	N	P	Rank
1	Lab	açlık	tokluk	16	0.152380952380952	1
2	Lab	açlık	yemek	16	0.152380952380952	2
3	Lab	açlık	afrika	6	0.0571428571428571	3
4	Lab	açlık	yoksulluk	5	0.0476190476190476	4
5	Lab	açlık	fakirlik	4	0.0380952380952381	5
6	Lab	açlık	yokluk	4	0.0380952380952381	6
7	Lab	açlık	acı	3	0.0285714285714286	7
8	Lab	açlık	mide	3	0.0285714285714286	8
9	Lab	açlık	oruç	3	0.0285714285714286	9
10	Lab	açlık	yoksunluk	3	0.0285714285714286	10
11	Lab	açlık	?	2	0.019047619047619	11
12	Lab	açlık	dilenci	2	0.019047619047619	12
13	Lab	açlık	karın	2	0.019047619047619	13
14	Lab	açlık	sefalet	2	0.019047619047619	14
15	Lab	açlık	suriye	2	0.019047619047619	15
16	Lab	açlık	üzüntü	2	0.019047619047619	16
17	Lab	açlık	afrikalı	1	0.00952380952380952	17
18	Lab	açlık	anoreksi	1	0.00952380952380952	18
19	Lab	açlık	çocuk	1	0.00952380952380952	19
20	Lab	açlık	dilenciler	1	0.00952380952380952	20
21	Lab	açlık	ekmek	1	0.00952380952380952	21
22	Lab	açlık	evsiz	1	0.00952380952380952	22
23	Lab	açlık	fakir	1	0.00952380952380952	23
24	Lab	açlık	gerçek	1	0.00952380952380952	24
25	Lab	açlık	guruldamak	1	0.00952380952380952	25
26	Lab	açlık	gurultu	1	0.00952380952380952	26
27	Lab	açlık	hamburger	1	0.00952380952380952	27
28	Lab	açlık	his	1	0.00952380952380952	28
29	Lab	açlık	kitap	1	0.00952380952380952	29
30	Lab	açlık	korkunç	1	0.00952380952380952	30
31	Lab	açlık	mide gurultusu	1	0.00952380952380952	31
32	Lab	açlık	mutsuzluk	1	0.00952380952380952	32
33	Lab	açlık	ölüm	1	0.00952380952380952	33
34	Lab	açlık	pakistan	1	0.00952380952380952	34
35	Lab	açlık	para	1	0.00952380952380952	35
36	Lab	açlık	problem	1	0.00952380952380952	36
37	Lab	açlık	ramazan	1	0.00952380952380952	37
38	Lab	açlık	restoran	1	0.00952380952380952	38
39	Lab	açlık	şeker	1	0.00952380952380952	39
40	Lab	açlık	su	1	0.00952380952380952	40
41	Lab	açlık	susuzluk	1	0.00952380952380952	41
42	Lab	açlık	temel	1	0.00952380952380952	42
43	Lab	açlık	ülkeler	1	0.00952380952380952	43
44	Lab	açlık	yorgunluk	1	0.00952380952380952	44
45	Lab	açlık	zaruret	1	0.00952380952380952	45
46	Lab	açlık	zenci	1	0.00952380952380952	46
47	Lab	alıntı	kopya	15	0.142857142857143	1
48	Lab	alıntı	tırnak işareti	10	0.0952380952380952	2
49	Lab	alıntı	kitap	9	0.0857142857142857	3
50	Lab	alıntı	?	6	0.0571428571428571	4
51	Lab	alıntı	söz	5	0.0476190476190476	5
52	Lab	alıntı	roman	4	0.0380952380952381	6
53	Lab	alıntı	çalıntı	3	0.0285714285714286	7
54	Lab	alıntı	hırsızlık	3	0.0285714285714286	8
55	Lab	alıntı	intihal	3	0.0285714285714286	9
56	Lab	alıntı	bilgi	2	0.019047619047619	10
57	Lab	alıntı	hikaye	2	0.019047619047619	11
58	Lab	alıntı	kaynak	2	0.019047619047619	12
59	Lab	alıntı	kopyalama	2	0.019047619047619	13
60	Lab	alıntı	makale	2	0.019047619047619	14
61	Lab	alıntı	ödev	2	0.019047619047619	15
62	Lab	alıntı	özet	2	0.019047619047619	16
63	Lab	alıntı	referans	2	0.019047619047619	17
64	Lab	alıntı	yazı	2	0.019047619047619	18
65	Lab	alıntı	akademi	1	0.00952380952380952	19
66	Lab	alıntı	aktarma	1	0.00952380952380952	20
67	Lab	alıntı	american psychological association	1	0.00952380952380952	21
68	Lab	alıntı	araştırma	1	0.00952380952380952	22
69	Lab	alıntı	ayar	1	0.00952380952380952	23
70	Lab	alıntı	başkasının	1	0.00952380952380952	24
71	Lab	alıntı	dayak	1	0.00952380952380952	25
72	Lab	alıntı	dedi	1	0.00952380952380952	26
73	Lab	alıntı	destek	1	0.00952380952380952	27
74	Lab	alıntı	direkt	1	0.00952380952380952	28
75	Lab	alıntı	esinlenme	1	0.00952380952380952	29
76	Lab	alıntı	fikir çalma	1	0.00952380952380952	30
77	Lab	alıntı	fıkra	1	0.00952380952380952	31
78	Lab	alıntı	gönderme	1	0.00952380952380952	32
79	Lab	alıntı	kullanmak	1	0.00952380952380952	33
80	Lab	alıntı	metin	1	0.00952380952380952	34
81	Lab	alıntı	müzik	1	0.00952380952380952	35
82	Lab	alıntı	örnek	1	0.00952380952380952	36
83	Lab	alıntı	özentilik	1	0.00952380952380952	37
