Target	Label	Assoc	n	Rank	RankMax	Probability
altın	onl	gümüş	10	1	26	0.192
altın	onl	değerli	4	2	25	0.077
altın	onl	kuyumcu	4	2	25	0.077
altın	onl	bilezik	3	3	23	0.058
altın	onl	para	3	3	23	0.058
altın	onl	sarı	3	3	23	0.058
altın	onl	çeyrek	3	3	23	0.058
altın	onl	külçe	2	4	19	0.038
altın	onl	kıymetli	2	4	19	0.038
altın	onl	mücevher	2	4	19	0.038
altın	onl	Afrika	1	5	16	0.019
altın	onl	Atatürk	1	5	16	0.019
altın	onl	alyans	1	5	16	0.019
altın	onl	cumhuriyet	1	5	16	0.019
altın	onl	gold	1	5	16	0.019
altın	onl	karat	1	5	16	0.019
altın	onl	kuruş	1	5	16	0.019
altın	onl	küçük altın	1	5	16	0.019
altın	onl	maden	1	5	16	0.019
altın	onl	oran	1	5	16	0.019
altın	onl	saat	1	5	16	0.019
altın	onl	takı	1	5	16	0.019
altın	onl	toka	1	5	16	0.019
altın	onl	yüksek	1	5	16	0.019
altın	onl	zenginlik	1	5	16	0.019
altın	onl	ziynet	1	5	16	0.019
altın	tem	gümüş	16	1	29	0.16
altın	tem	sarı	15	2	28	0.15
altın	tem	yüzük	9	3	27	0.09
altın	tem	bilezik	8	4	26	0.08
altın	tem	değerli	8	4	26	0.08
altın	tem	kuyumcu	7	5	24	0.07
altın	tem	para	5	6	23	0.05
altın	tem	zengin	4	7	22	0.04
altın	tem	parlak	3	8	21	0.03
altın	tem	takı	3	8	21	0.03
altın	tem	düğün	2	9	19	0.02
altın	tem	som	2	9	19	0.02
altın	tem	zincir	2	9	19	0.02
altın	tem	ayar	1	10	16	0.01
altın	tem	bakır	1	10	16	0.01
altın	tem	borç	1	10	16	0.01
altın	tem	define	1	10	16	0.01
altın	tem	diş	1	10	16	0.01
altın	tem	gram	1	10	16	0.01
altın	tem	kolye	1	10	16	0.01
altın	tem	küpe	1	10	16	0.01
altın	tem	madalya	1	10	16	0.01
altın	tem	maden	1	10	16	0.01
altın	tem	pahalı	1	10	16	0.01
altın	tem	saat	1	10	16	0.01
altın	tem	simya	1	10	16	0.01
altın	tem	süs	1	10	16	0.01
altın	tem	yatırım	1	10	16	0.01
altın	tem	çeyrek	1	10	16	0.01
altın	umi	gümüş	14	1	33	0.133
altın	umi	bilezik	12	2	32	0.114
altın	umi	sarı	10	3	31	0.095
altın	umi	değerli	8	4	30	0.076
altın	umi	düğün	7	5	29	0.067
altın	umi	kolye	7	5	29	0.067
altın	umi	para	6	6	27	0.057
altın	umi	yüzük	4	7	26	0.038
altın	umi	değer	3	8	25	0.029
altın	umi	kuyumcu	3	8	25	0.029
altın	umi	külçe	3	8	25	0.029
altın	umi	pahalı	3	8	25	0.029
altın	umi	zenginlik	3	8	25	0.029
altın	umi	evlilik	2	9	20	0.019
altın	umi	takı	2	9	20	0.019
altın	umi	?	1	10	18	0.01
altın	umi	Arap	1	10	18	0.01
altın	umi	Kapalıçarşı	1	10	18	0.01
altın	umi	bileklik	1	10	18	0.01
altın	umi	borsa	1	10	18	0.01
altın	umi	diş	1	10	18	0.01
altın	umi	dolar	1	10	18	0.01
altın	umi	güneş	1	10	18	0.01
altın	umi	kazanç	1	10	18	0.01
altın	umi	küpe	1	10	18	0.01
altın	umi	maden	1	10	18	0.01
altın	umi	mücevher	1	10	18	0.01
altın	umi	parlaklık	1	10	18	0.01
altın	umi	saat	1	10	18	0.01
altın	umi	yastık altı	1	10	18	0.01
altın	umi	yatırım	1	10	18	0.01
altın	umi	zengin	1	10	18	0.01
altın	umi	şifa	1	10	18	0.01
alıntı	onl	kopya	5	1	33	0.096
alıntı	onl	cümle	3	2	32	0.058
alıntı	onl	intihal	3	2	32	0.058
alıntı	onl	kitap	3	2	32	0.058
alıntı	onl	söz	3	2	32	0.058
alıntı	onl	tırnak işareti	3	2	32	0.058
alıntı	onl	yazı	3	2	32	0.058
alıntı	onl	makale	2	3	26	0.038
alıntı	onl	yazar	2	3	26	0.038
alıntı	onl	çalıntı	2	3	26	0.038
alıntı	onl	?	1	4	23	0.019
alıntı	onl	APA	1	4	23	0.019
alıntı	onl	Twitter	1	4	23	0.019
alıntı	onl	akademik	1	4	23	0.019
