Target	Assoc	n
açlık	yemek	28
açlık	ölüm	4
açlık	acı	1
açlık	nefes	1
açlık	sefalet	17
açlık	gurultu	3
açlık	ağrı	1
açlık	parasızlık	1
açlık	ekmek	9
açlık	kıtlık	2
açlık	balık	1
açlık	sinirlilik	1
açlık	fakirlik	9
açlık	oruç	2
açlık	gece	1
açlık	yanma	1
açlık	tokluk	5
açlık	yiyecek	2
açlık	his	1
açlık	yoksulluk	1
açlık	grev	4
açlık	zayıflık	2
açlık	mide	1
açlık	zorluk	1
adalet	mahkeme	19
adalet	terazi	7
adalet	adliye	3
adalet	barış	1
adalet	hukuk	17
adalet	avukat	5
adalet	düzen	2
adalet	dava	1
adalet	hak	13
adalet	yargıç	4
adalet	eşitlik	2
adalet	dürüst	1
adalet	hakim	7
adalet	yasa	4
adalet	Allah	1
adalet	mülk	1
adalet	kanun	7
adalet	adil	3
adalet	anlayış	1
adalet	refah	1
ahşap	ev	35
ahşap	masa	2
ahşap	cam	1
ahşap	köy	1
ahşap	tahta	32
ahşap	odun	2
ahşap	cila	1
ahşap	kuru	1
ahşap	parke	5
ahşap	yangın	2
ahşap	gıcırtı	1
ahşap	sarı	1
ahşap	mobilya	3
ahşap	ağaç	1
ahşap	kaplama	1
ahşap	tarihi	1
ahşap	boya	2
ahşap	betonarme	1
ahşap	konak	1
ahşap	yazlık	1
ahşap	dolap	2
ahşap	bina	1
ahşap	köşk	1
ahşap	zemin	1
aile	ev	18
aile	yuva	4
aile	yakınlık	2
aile	her şey	1
aile	anne	16
aile	çekirdek	3
aile	anneanne	1
aile	kutsal	1
aile	baba	8
aile	bağlılık	2
aile	bağ	1
aile	neşe	1
aile	beraberlik	6
aile	birey	2
aile	cemaat	1
aile	ocak	1
aile	sevgi	6
aile	hayat	2
aile	çocuk	1
aile	sığınak	1
aile	sıcaklık	5
aile	huzur	2
aile	değer	1
aile	soba	1
aile	güven	5
aile	toplum	2
aile	familya	1
aile	süper	1
aile	kardeş	4
ajan	casus	23
ajan	bilgi	1
ajan	kaçak	1
ajan	örgüt	1
ajan	gizli	22
ajan	dedektif	1
ajan	komik	1
ajan	provokatör	1
ajan	film	6
ajan	gazete	1
ajan	komplo	1
ajan	sinsi	1
ajan	savaş	6
ajan	giz	1
ajan	kontrgerilla	1
ajan	sır	1
ajan	gizlilik	5
ajan	gizem	1
ajan	manken	1
ajan	sorumluluk	1
ajan	polis	5
ajan	görev	1
ajan	merak	1
ajan	spor	1
ajan	gözlük	4
ajan	hain	1
ajan	muhbir	1
ajan	tehlike	1
ajan	şapka	4
ajan	ihbar	1
ajan	müfettiş	1
ajan	televizyon	1
ajan	adam	1
akıl	zeka	29
akıl	yetenek	2
akıl	ders	1
akıl	nakil	1
akıl	beyin	16
akıl	anlak	1
akıl	dimağ	1
akıl	rasyonalizm	1
akıl	us	16
akıl	baş	1
akıl	güç	1
akıl	satranç	1
akıl	mantık	7
akıl	bilgi	1
akıl	hastahane	1
akıl	soru	1
akıl	fikir	4
akıl	bilim	1
akıl	kafa	1
akıl	yaratıcılık	1
akıl	düşünce	2
akıl	bulgu	1
akıl	kalp	1
akıl	yaş	1
akıl	düşünmek	2
akıl	davranış	1
akıl	matematik	1
akıl	zihin	1
akıl	oyun	2
akıllı	zeki	41
akıllı	kılsız	2
akıllı	güzel	2
akıllı	dürüst	1
akıllı	uslu	20
akıllı	bilgili	2
akıllı	kurnaz	2
akıllı	erkek	1
akıllı	başarılı	5
akıllı	cin	2
akıllı	afacan	1
akıllı	mantık	1
akıllı	aptal	3
akıllı	çalışkan	2
akıllı	alim	1
akıllı	olgun	1
akıllı	dengeli	3
akıllı	çocuk	2
akıllı	bilgin	1
akıllı	özürlü	1
akıllı	zeka	3
akıllı	doğru	2
akıllı	deli	1
alet	edavat	21
alet	bıçak	2
alet	beceri	1
alet	işçi	1
alet	hırdavat	9
alet	cihaz	2
alet	doktor	1
alet	kerpeten	1
alet	tamirat	8
alet	iş	2
alet	ekipman	1
alet	kolaylaştırıcı	1
alet	makas	8
alet	jimnastik	2
alet	el	1
alet	kova	1
alet	tornavida	6
alet	kutu	2
alet	elektronik	1
alet	lüzumlu	1
alet	çanta	5
alet	akine	2
alet	erkek	1
alet	malzeme	1
alet	çekiç	5
alet	pense	2
alet	eşya	1
alet	müzik	1
alet	marangoz	3
alet	spor	2
alet	geniş	1
alet	nesne	1
alet	araç	2
alet	anahtar	1
alıntı	çalıntı	18
alıntı	yazı	3
alıntı	değer	1
alıntı	kesit	1
alıntı	kopya	10
alıntı	parça	2
alıntı	deneme	1
alıntı	kısa	1
alıntı	kitap	8
alıntı	referans	2
alıntı	dergi	1
alıntı	kısım	1
alıntı	çalmak	7
alıntı	taklit	2
alıntı	dipnot	1
alıntı	okuma	1
alıntı	makale	6
alıntı	aktarım	1
alıntı	eser	1
alıntı	örnek	1
alıntı	hırsızlık	4
alıntı	almak	1
alıntı	hikaye	1
alıntı	parantez	1
alıntı	paragraf	4
alıntı	araştırma	1
alıntı	ilave	1
alıntı	roman	1
alıntı	şiir	4
alıntı	başvuru	1
alıntı	kaçak	1
alıntı	sahtekarlık	1
alıntı	tırnak işareti	3
alıntı	bölüm	1
alıntı	kelime	1
alıntı	söz	1
alıntı	yazar	3
alıntı	çeviri	1
alışkın	rahat	10
alışkın	sıkıcı	2
alışkın	hayat	1
alışkın	sıradan	1
alışkın	sigara	8
alışkın	umursamaz	2
alışkın	hep	1
alışkın	süregelen	1
alışkın	alışkanlık	7
alışkın	uygun	2
alışkın	idare	1
alışkın	tecrübeli	1
alışkın	alışmış	7
alışkın	acemi	1
alışkın	kolay	1
alışkın	tekrar	1
alışkın	kudurmuş	5
alışkın	aşikar	1
alışkın	müptela	1
alışkın	tepkisiz	1
alışkın	normal	5
alışkın	bezgin	1
alışkın	olmak	1
alışkın	tiryaki	1
alışkın	aşina	4
alışkın	çay	1
alışkın	önemsiz	1
alışkın	uyuşturucu	1
alışkın	iş	3
alışkın	davranış	1
alışkın	özlem	1
alışkın	yakın	1
alışkın	monoton	3
alışkın	değişmez	1
alışkın	rutin	1
alışkın	yaşlı	1
alışkın	aynı	2
alışkın	deneyimli	1
alışkın	saçmalık	1
alışkın	yatkın	1
alışkın	bağımlı	2
alışkın	doğal	1
alışkın	sakin	1
alışkın	yüzsüz	1
alışkın	dert	2
alışkın	hata	1
alışkın	sınav	1
alışkın	zaman	1
alışkın	huy	2
alışkın	hava	1
alkol	sarhoş	20
alkol	sorun	2
alkol	gece	1
alkol	siroz	1
alkol	içki	19
alkol	zevk	2
