Target	Assoc	n
1	altın	ayar	1
2	altın	bakır	1
3	altın	bilezik	8
4	altın	borç	1
5	altın	define	1
6	altın	değerli	8
7	altın	diş	1
8	altın	düğün	2
9	altın	gram	1
10	altın	gümüş	16
11	altın	kolye	1
12	altın	kuyumcu	7
13	altın	küpe	1
14	altın	madalya	1
15	altın	maden	1
16	altın	pahalı	1
17	altın	para	5
18	altın	parlak	3
19	altın	saat	1
20	altın	sarı	15
21	altın	simya	1
22	altın	som	2
23	altın	süs	1
24	altın	takı	3
25	altın	yatırım	1
26	altın	yüzük	9
27	altın	zengin	4
28	altın	zincir	2
29	altın	çeyrek	1
30	alıntı	aktarım	1
31	alıntı	almak	1
32	alıntı	araştırma	1
33	alıntı	başvuru	1
34	alıntı	bölüm	1
35	alıntı	deneme	1
36	alıntı	dergi	1
37	alıntı	değer	1
38	alıntı	dipnot	1
39	alıntı	eser	1
40	alıntı	hikaye	1
41	alıntı	hırsızlık	4
42	alıntı	ilave	1
43	alıntı	kaçak	1
44	alıntı	kelime	1
45	alıntı	kesit	1
46	alıntı	kitap	8
47	alıntı	kopya	10
48	alıntı	kısa	1
49	alıntı	kısım	1
50	alıntı	makale	6
51	alıntı	okuma	1
52	alıntı	paragraf	4
53	alıntı	parantez	1
54	alıntı	parça	2
55	alıntı	referans	2
56	alıntı	roman	1
57	alıntı	sahtekarlık	1
58	alıntı	söz	1
59	alıntı	taklit	2
60	alıntı	tırnak işareti	3
61	alıntı	yazar	3
62	alıntı	yazı	3
63	alıntı	çalmak	7
64	alıntı	çalıntı	18
65	alıntı	çeviri	1
66	alıntı	örnek	1
67	alıntı	şiir	4
68	asker	Mehmetçik	2
69	asker	aile	1
70	asker	baba	1
71	asker	barış	1
72	asker	disiplin	2
73	asker	er	12
74	asker	film	1
75	asker	gurbet	1
76	asker	görev	1
77	asker	güvenlik	3
78	asker	güç	1
79	asker	hapishane	1
80	asker	kep	1
81	asker	komutan	2
82	asker	koruma	2
83	asker	kışla	1
84	asker	matara	1
85	asker	nöbet	2
86	asker	ordu	8
87	asker	postal	2
88	asker	savaş	17
89	asker	silah	10
90	asker	subay	1
91	asker	tezkere	3
92	asker	tüfek	3
93	asker	vatan	3
94	asker	yeşil	7
95	asker	ölüm	1
96	asker	özlem	2
97	asker	üniforma	5
98	asker	üst	1
99	asker	şafak	1
100	atom	bağ	1
101	atom	bomba	21
102	atom	ders	1
103	atom	elektrik	1
104	atom	elektron	4
105	atom	element	1
106	atom	fen	2
107	atom	fizik	2
108	atom	genetik	1
109	atom	hareketli	1
110	atom	hücre	1
111	atom	karınca	15
112	atom	kimya	14
113	atom	küçük	6
114	atom	madde	1
115	atom	molekül	5
116	atom	muamma	1
117	atom	nöron	1
118	atom	nükleer enerji	2
119	atom	parça	2
120	atom	parçalanma	1
121	atom	proton	2
122	atom	tehlike	1
123	atom	ufak	1
124	atom	uzay	2
125	atom	yörünge	2
