Target	Assoc	n	Root	Ratio
şüphe	zan	1	zan	1.0
şüphe	zanlı	2	zan	0.75
demir	pas	29	pas	1.0
demir	paslanma	2	pas	0.55
demir	paslanmaz	1	pas	0.5
demir	paslanma	2	paslanma	1.0
demir	paslanmaz	1	paslanma	0.94
koyu	kara	1	kara	1.0
koyu	karanlık	4	kara	0.67
kelebek	gün	2	gün	1.0
kelebek	güneş	1	gün	0.75
arkadaş	sevgi	3	sevgi	1.0
arkadaş	sevgili	1	sevgi	0.83
muaf	ayrı	8	ayrı	1.0
muaf	ayrıcalık	1	ayrı	0.62
sevap	iyi	6	iyi	1.0
sevap	iyilik	13	iyi	0.67
orman	yeşil	11	yeşil	1.0
orman	yeşillik	5	yeşil	0.77
atletik	atlet	3	atlet	1.0
atletik	atletizm	1	atlet	0.77
atletik	koşu	5	koşu	1.0
atletik	koşucu	3	koşu	0.8
atletik	spor	31	spor	1.0
atletik	sporcu	14	spor	0.8
atletik	sportmen	5	spor	0.67
haksız	adalet	9	adalet	1.0
haksız	adaletsiz	12	adalet	0.8
sevgili	güzel	1	güzel	1.0
sevgili	güzellik	1	güzel	0.77
gölge	hayal	2	hayal	1.0
gölge	hayalet	2	hayal	0.83
punto	büyük	3	büyük	1.0
punto	büyüklük	1	büyük	0.77
belde	il	9	il	1.0
belde	ilçe	10	il	0.67
belde	yer	1	yer	1.0
belde	yerleşim	4	yer	0.55
iklim	sıcak	6	sıcak	1.0
iklim	sıcaklık	2	sıcak	0.77
dükkan	cam	1	cam	1.0
dükkan	camekan	1	cam	0.6
dükkan	iş	5	iş	1.0
dükkan	iş yeri	1	iş	0.44
dükkan	işçi	1	iş	0.67
dükkan	kira	2	kira	1.0
dükkan	kiralık	1	kira	0.73
rezalet	rezil	2	rezil	1.0
rezalet	rezillik	3	rezil	0.77
sahil	kum	14	kum	1.0
sahil	kumsal	10	kum	0.67
lezzet	tat	33	tat	1.0
lezzet	tatlı	4	tat	0.75
mühendis	bilgi	4	bilgi	1.0
mühendis	bilgisayar	6	bilgi	0.67
ücret	iş	1	iş	1.0
ücret	işçi	1	iş	0.67
solo	şarkı	12	şarkı	1.0
solo	şarkıcı	1	şarkı	0.83
kargo	ev	1	ev	1.0
kargo	evrak	1	ev	0.57
kargo	mal	2	mal	1.0
kargo	malzeme	1	mal	0.6
nezle	hasta	7	hasta	1.0
nezle	hastalık	11	hasta	0.77
çamaşır	ip	16	ip	1.0
çamaşır	iplik	1	ip	0.57
çamaşır	kir	1	kir	1.0
çamaşır	kirli	12	kir	0.75
fani	son	3	son	1.0
fani	sonsuz	1	son	0.67
fani	ölüm	20	ölüm	1.0
fani	ölümlü	18	ölüm	0.8
çığlık	korku	40	korku	1.0
çığlık	korkunç	1	korku	0.83
kız	güzel	5	güzel	1.0
kız	güzellik	4	güzel	0.77
temiz	el	1	el	1.0
temiz	elbise	3	el	0.5
reklam	pazar	2	pazar	1.0
reklam	pazarlama	6	pazar	0.71
hırs	başarı	6	başarı	1.0
hırs	başarısızlık	1	başarı	0.67
iskele	balık	3	balık	1.0
iskele	balıkçı	1	balık	0.83
sarp	dik	7	dik	1.0
sarp	diken	1	dik	0.75
sarp	kaya	28	kaya	1.0
sarp	kayak	1	kaya	0.89
sarp	kayalık	14	kaya	0.73
sarp	zor	2	zor	1.0
sarp	zorluk	4	zor	0.67
hastahane	hasta	30	hasta	1.0
hastahane	hastalık	10	hasta	0.77
dayak	acı	7	acı	1.0
dayak	acıtmak	1	acı	0.6
dayak	kötü	2	kötü	1.0
dayak	kötü aile	3	kötü	0.62
ayakkabı	bağ	5	bağ	1.0
ayakkabı	bağcık	14	bağ	0.67
iğde	tat	1	tat	1.0
iğde	tatsız	1	tat	0.67
müftülük	il	1	il	1.0
müftülük	ilahiyat	1	il	0.4
delik	ip	1	ip	1.0
delik	iplik	1	ip	0.57
deri	kan	1	kan	1.0
deri	kanser	1	kan	0.67
ilaç	hasta	21	hasta	1.0
ilaç	hastahane	1	hasta	0.71
cinayet	ölü	2	ölü	1.0
cinayet	ölüm	12	ölü	0.86
bahar	güzel	1	güzel	1.0
bahar	güzellik	3	güzel	0.77
taksit	ay	2	ay	1.0
taksit	ayakkabı	1	ay	0.4
sebze	salata	3	salata	1.0
sebze	salatalık	3	salata	0.8
tutku	az	1	az	1.0
tutku	azim	1	az	0.67
tutku	sevgi	1	sevgi	1.0
tutku	sevgili	1	sevgi	0.83
otobüs	yol	8	yol	1.0
otobüs	yolcu	8	yol	0.75
otobüs	yolculuk	6	yol	0.55
otobüs	yolcu	8	yolcu	1.0
otobüs	yolculuk	6	yolcu	0.77
kararlı	azim	14	azim	1.0
kararlı	azimli	21	azim	0.8
hormon	denge	2	denge	1.0
hormon	dengesizlik	1	denge	0.62
hormon	kan	2	kan	1.0
hormon	kanser	1	kan	0.67
hormon	sağlık	1	sağlık	1.0
hormon	sağlıksız	1	sağlık	0.8
tortul	kaya	41	kaya	1.0
tortul	kayaç	3	kaya	0.89
turizm	tur	1	tur	1.0
turizm	turist	16	tur	0.67
tahta	sandal	1	sandal	1.0
