Target	Assoc	n	Root	Root.n	Ratio
altın	değer	3	değer	3	1.0
altın	değerli	8	değer	3	0.83
altın	zengin	1	zengin	1	1.0
altın	zenginlik	3	zengin	1	0.8
alıntı	kopya	15	kopya	15	1.0
alıntı	kopyalama	2	kopya	15	0.71
alıntı	tırnak	1	tırnak	1	1.0
alıntı	tırnak işareti	10	tırnak	1	0.6
asker	er	3	er	3	1.0
asker	erkek	2	er	3	0.57
asker	gurbet	1	gurbet	1	1.0
asker	gurbetlik	1	gurbet	1	0.8
atom	dünya	1	dünya	1	1.0
atom	dünya varoluşu	1	dünya	1	0.53
atom	parça	4	parça	4	1.0
atom	parçacık	3	parça	4	0.77
atom	parçalamak	2	parça	4	0.67
atom	parçalılık	1	parça	4	0.67
atom	yapı	1	yapı	1	1.0
atom	yapı taşı	1	yapı	1	0.62
avuç	el	51	el	51	1.0
avuç	el alem	1	el	51	0.44
avuç	elbise	2	el	51	0.5
avuç	iç	1	iç	1	1.0
avuç	içi	4	iç	1	0.8
avuç	ter	5	ter	5	1.0
avuç	terlemek	1	ter	5	0.55
avuç	çizgi	2	çizgi	2	1.0
avuç	çizgiler	1	çizgi	2	0.77
ayıp	kötü	8	kötü	8	1.0
ayıp	kötülük	1	kötü	8	0.73
ayıp	terbiyesiz	2	terbiyesiz	2	1.0
ayıp	terbiyesizlik	2	terbiyesiz	2	0.87
ayıp	toplum	3	toplum	3	1.0
ayıp	toplumsal	1	toplum	3	0.8
ayıp	toplumsal kurallar	1	toplum	3	0.5
ayıp	toplumsal	1	toplumsal	1	1.0
ayıp	toplumsal kurallar	1	toplumsal	1	0.67
ayıp	utanma	2	utanma	2	1.0
ayıp	utanmak	3	utanma	2	0.92
ayıp	utanç	9	utanç	9	1.0
ayıp	utanç verici	1	utanç	9	0.59
açlık	Afrika	6	Afrika	6	1.0
açlık	Afrikalı	1	Afrika	6	0.86
açlık	dilenci	2	dilenci	2	1.0
açlık	dilenciler	1	dilenci	2	0.82
açlık	fakir	1	fakir	1	1.0
açlık	fakirlik	4	fakir	1	0.77
açlık	mide	3	mide	3	1.0
açlık	mide gurultusu	1	mide	3	0.44
açlık	su	1	su	1	1.0
açlık	susuzluk	1	su	1	0.4
bacak	ten	2	ten	2	1.0
bacak	ten rengi	1	ten	2	0.5
balık	su	6	su	6	1.0
balık	sushi	1	su	6	0.57
barınak	ev	23	ev	23	1.0
barınak	evlilik	2	ev	23	0.44
barınak	hayvan	20	hayvan	20	1.0
barınak	hayvanlar	1	hayvan	20	0.8
barınak	sıcak	1	sıcak	1	1.0
barınak	sıcaklık	1	sıcak	1	0.77
başıboş	işsiz	8	işsiz	8	1.0
başıboş	işsizlik	1	işsiz	8	0.77
başıboş	kayıp	1	kayıp	1	1.0
başıboş	kayıp hayat	1	kayıp	1	0.62
başıboş	rahat	2	rahat	2	1.0
başıboş	rahatlık	1	rahat	2	0.77
başıboş	sokak	1	sokak	1	1.0
başıboş	sokaklar	1	sokak	1	0.77
belge	kağıt	8	kağıt	8	1.0
belge	kağıtlar	1	kağıt	8	0.77
belge	resmi	3	resmi	3	1.0
belge	resmiyet	6	resmi	3	0.77
belge	öğrenci	1	öğrenci	1	1.0
belge	öğrenci işleri	1	öğrenci	1	0.67
bilişim	bilgi	2	bilgi	2	1.0
bilişim	bilgisayar	20	bilgi	2	0.67
bilişim	iş	1	iş	1	1.0
bilişim	işletme	1	iş	1	0.44
boğa	kızgın	4	kızgın	4	1.0
boğa	kızgınlık	1	kızgın	4	0.8
büro	avukat	14	avukat	14	1.0
büro	avukatlar	1	avukat	14	0.8
büro	iş	17	iş	17	1.0
büro	iş adamı	1	iş	17	0.4
büro	iş yeri	4	iş	17	0.44
büro	işletim	1	iş	17	0.44
büro	işletme	1	iş	17	0.44
büro	işsiz	1	iş	17	0.57
büro	işsizlik	1	iş	17	0.4
büro	işsiz	1	işsiz	1	1.0
büro	işsizlik	1	işsiz	1	0.77
cevap	doğru	1	doğru	1	1.0
cevap	doğruluk	1	doğru	1	0.77
cevap	soru	63	soru	63	1.0
cevap	soru işareti	1	soru	63	0.5
cevap	sorular	1	soru	63	0.73
cevap	sorun	1	soru	63	0.89
delik	fare	2	fare	2	1.0
delik	fare yuvası	1	fare	2	0.53
delik	göz	2	göz	2	1.0
delik	gözetleme	1	göz	2	0.5
delik	gözlük	1	göz	2	0.67
delik	kara	6	kara	6	1.0
delik	karanlık	1	kara	6	0.67
dinamik	canlı	4	canlı	4	1.0
dinamik	canlılık	1	canlı	4	0.77
dinamik	enerji	6	enerji	6	1.0
dinamik	enerjik	12	enerji	6	0.92
dinamik	genç	1	genç	1	1.0
dinamik	gençlik	1	genç	1	0.73
dinamik	güç	2	güç	2	1.0
dinamik	güçlü	8	güç	2	0.75
dinamik	hareket	4	hareket	4	1.0
dinamik	hareketli	8	hareket	4	0.88
dinamik	heyecan	1	heyecan	1	1.0
dinamik	heyecanlı	1	heyecan	1	0.88
dinamik	hız	1	hız	1	1.0
dinamik	hızlı	6	hız	1	0.75
dinamik	spor	2	spor	2	1.0
dinamik	sporcu	1	spor	2	0.8
dizgin	at	39	at	39	1.0
dizgin	atik	1	at	39	0.67
dizgin	dur	1	dur	1	1.0
dizgin	durgun	3	dur	1	0.67
dizgin	durma	1	dur	1	0.75
dizgin	durmak	2	dur	1	0.67
dizgin	durma	1	durma	1	1.0
dizgin	durmak	2	durma	1	0.91
dizgin	düzen	1	düzen	1	1.0
dizgin	düzenli	2	düzen	1	0.83
dizgin	sakin	5	sakin	5	1.0
dizgin	sakinlik	1	sakin	5	0.77
duygulu	an	1	an	1	1.0
duygulu	anlamlı	1	an	1	0.44
duygulu	anne	3	an	1	0.67
duygulu	duygu	1	duygu	1	1.0
duygulu	duygusal	1	duygu	1	0.77
duygulu	hassas	10	hassas	10	1.0
duygulu	hassasiyet	1	hassas	10	0.75
duygulu	his	2	his	2	1.0
duygulu	hisli	2	his	2	0.75
duygulu	hissiz	1	his	2	0.67
duygulu	hüzün	2	hüzün	2	1.0
duygulu	hüzünlü	5	hüzün	2	0.83
duygulu	mutlu	1	mutlu	1	1.0
duygulu	mutluluk	1	mutlu	1	0.77
elem	kötü	3	kötü	3	1.0
elem	kötülük	2	kötü	3	0.73
erozyon	ağaç	8	ağaç	8	1.0
erozyon	ağaçsızlık	1	ağaç	8	0.57
erozyon	toprak	52	toprak	52	1.0
erozyon	toprak kayması	5	toprak	52	0.6
esinti	ferah	1	ferah	1	1.0
esinti	ferahlık	1	ferah	1	0.77
esinti	serin	1	serin	1	1.0
esinti	serinlik	2	serin	1	0.77
esinti	yaz	3	yaz	3	1.0
esinti	yaz mevsimi	1	yaz	3	0.43
ev	sıcak	4	sıcak	4	1.0
ev	sıcaklık	4	sıcak	4	0.77
ev	yuva	10	yuva	10	1.0
ev	yuvarlak	1	yuva	10	0.67
eşya	araç	1	araç	1	1.0
eşya	araç gereç	1	araç	1	0.57
eşya	ev	9	ev	9	1.0
eşya	evlilik	1	ev	9	0.44
eşya	kitap	1	kitap	1	1.0
eşya	kitaplık	1	kitap	1	0.77
eşya	mal	3	mal	3	1.0
eşya	malzeme	1	mal	3	0.6
eşya	sahip	1	sahip	1	1.0
eşya	sahiplenme	1	sahip	1	0.67
geçerlik	devam	1	devam	1	1.0
geçerlik	devam eden	1	devam	1	0.67
geçerlik	doğru	5	doğru	5	1.0
geçerlik	doğruluk	5	doğru	5	0.77
geçerlik	kabul	7	kabul	7	1.0
geçerlik	kabul gören	1	kabul	7	0.62
geçerlik	kesin	1	kesin	1	1.0
geçerlik	kesinlik	1	kesin	1	0.77
geçerlik	süre	14	süre	14	1.0
geçerlik	süresiz	1	süre	14	0.73
geçerlik	süreç	1	süre	14	0.89
geçerlik	uygun	3	uygun	3	1.0
geçerlik	uygunluk	1	uygun	3	0.77
giysi	çıplak	2	çıplak	2	1.0
giysi	çıplaklık	4	çıplak	2	0.8
gülüş	güzel	3	güzel	3	1.0
gülüş	güzellik	1	güzel	3	0.77
gülüş	mutlu	2	mutlu	2	1.0
gülüş	mutluluk	23	mutlu	2	0.77
gülüş	samimi	1	samimi	1	1.0
gülüş	samimiyet	7	samimi	1	0.8
gülüş	tatlı	1	tatlı	1	1.0
gülüş	tatlılık	1	tatlı	1	0.77
gıcırtı	kapı	57	kapı	57	1.0
gıcırtı	kapı kolu	1	kapı	57	0.62
gıcırtı	korku	3	korku	3	1.0
gıcırtı	korkutucu	1	korku	3	0.71
hasar	bozuk	2	bozuk	2	1.0
hasar	bozukluk	2	bozuk	2	0.77
hata	insan	5	insan	5	1.0
hata	insanlık	1	insan	5	0.77
hata	soru	1	soru	1	1.0
hata	sorun	2	soru	1	0.89
hata	yanlış	48	yanlış	48	1.0
hata	yanlışlar	1	yanlış	48	0.8
hata	yanlışlık	1	yanlış	48	0.8
hayat	güzel	1	güzel	1	1.0
hayat	güzeldir	1	güzel	1	0.77
hayat	uzun	2	uzun	2	1.0
hayat	uzun yol	1	uzun	2	0.67
hayat	uzunluk	1	uzun	2	0.73
hayat	yaş	1	yaş	1	1.0
hayat	yaşam	24	yaş	1	0.75
hayat	yaşamak	3	yaş	1	0.6
hayat	yaşam	24	yaşam	24	1.0
hayat	yaşamak	3	yaşam	24	0.83
hayat	zor	1	zor	1	1.0
hayat	zorluk	2	zor	1	0.67
hayat	öz	1	öz	1	1.0
hayat	özgürlük	1	öz	1	0.4
hayvan	can	1	can	1	1.0
hayvan	canlı	8	can	1	0.75
hayvan	sadık	1	sadık	1	1.0
hayvan	sadıklık	1	sadık	1	0.77
haz	hoşnut	1	hoşnut	1	1.0
haz	hoşnutluk	1	hoşnut	1	0.8
haz	sevgi	1	sevgi	1	1.0
haz	sevgili	1	sevgi	1	0.83
haz	tat	1	tat	1	1.0
haz	tatmin	3	tat	1	0.67
haz	tatmin olmak	1	tat	1	0.4
haz	tatmin	3	tatmin	3	1.0
haz	tatmin olmak	1	tatmin	3	0.67
hoşnut	iyi	2	iyi	2	1.0
hoşnut	iyilik	1	iyi	2	0.67
hoşnut	memnun	28	memnun	28	1.0
hoşnut	memnuniyet	3	memnun	28	0.75
hoşnut	mutlu	19	mutlu	19	1.0
hoşnut	mutluluk	11	mutlu	19	0.77
hoşnut	tebessüm	1	tebessüm	1	1.0
hoşnut	tebessüm etmek	1	tebessüm	1	0.73
hukuk	hak	13	hak	13	1.0
hukuk	haksızlık	1	hak	13	0.5
hukuk	kitap	5	kitap	5	1.0
hukuk	kitaplar	1	kitap	5	0.77
hüzün	buruk	1	buruk	1	1.0
hüzün	burukluk	2	buruk	1	0.77
hüzün	göz	1	göz	1	1.0
hüzün	gözyaşı	12	göz	1	0.6
hüzün	mutsuz	1	mutsuz	1	1.0
hüzün	mutsuzluk	7	mutsuz	1	0.8
hırçınlık	agresif	11	agresif	11	1.0
hırçınlık	agresiflik	2	agresif	11	0.82
hırçınlık	asabi	8	asabi	8	1.0
hırçınlık	asabiyet	1	asabi	8	0.77
hırçınlık	asi	9	asi	9	1.0
hırçınlık	asilik	2	asi	9	0.67
hırçınlık	asit	1	asi	9	0.86
hırçınlık	ergen	3	ergen	3	1.0
hırçınlık	ergenlik	2	ergen	3	0.77
hırçınlık	kavga	3	kavga	3	1.0
hırçınlık	kavgacı	1	kavga	3	0.83
hırçınlık	kız	1	kız	1	1.0
hırçınlık	kızgın	2	kız	1	0.67
hırçınlık	kızgınlık	1	kız	1	0.5
hırçınlık	kızgın	2	kızgın	2	1.0
hırçınlık	kızgınlık	1	kızgın	2	0.8
hırçınlık	sinir	9	sinir	9	1.0
hırçınlık	sinirli	3	sinir	9	0.83
hırçınlık	öfke	3	öfke	3	1.0
hırçınlık	öfkelenmek	1	öfke	3	0.57
hırçınlık	öfkeli	2	öfke	3	0.8
imza	ciddi	1	ciddi	1	1.0
imza	ciddiyet	1	ciddi	1	0.77
imza	isim	8	isim	8	1.0
imza	isimlendirme	1	isim	8	0.5
imza	iz	1	iz	1	1.0
imza	izin	2	iz	1	0.67
imza	kişi	2	kişi	2	1.0
imza	kişilik	1	kişi	2	0.73
