Target	Assoc	p.onl	n.onl	p.umi	n.umi
altın	külçe	0.038	2	0.029	3
altın	kıymetli	0.038	2	0	0
alıntı	cümle	0.058	3	0	0
alıntı	intihal	0.058	3	0.029	3
alıntı	kopyalama	0	0	0.019	2
alıntı	özet	0	0	0.019	2
asker	komando	0.038	2	0	0
asker	Çanakkale	0.038	2	0	0
asker	şehit	0.038	2	0.038	4
atom	Einstein	0.096	5	0.048	5
atom	parçacık	0.096	5	0.029	3
atom	parçalamak	0	0	0.019	2
avuç	içi	0	0	0.038	4
avuç	kader	0	0	0.038	4
avuç	ter	0	0	0.048	5
ayıp	terbiyesiz	0	0	0.019	2
ayıp	terbiyesizlik	0	0	0.019	2
ayıp	utanmak	0	0	0.029	3
ayıp	utanç	0.058	3	0.086	9
açlık	Afrika	0.231	12	0.057	6
açlık	Suriye	0	0	0.019	2
açlık	dilenci	0	0	0.019	2
açlık	karın	0	0	0.019	2
açlık	susuzluk	0.038	2	0	0
açlık	yoksunluk	0	0	0.029	3
bacak	kas	0.058	3	0.057	6
bacak	kıllı	0.038	2	0	0
bacak	ten	0.077	4	0.019	2
balık	Nemo	0	0	0.019	2
balık	akvaryum	0	0	0.029	3
balık	duygusallık	0	0	0.019	2
balık	kısmet	0	0	0.019	2
balık	roka	0	0	0.019	2
balık	somon	0.038	2	0	0
balık	zeka	0.038	2	0	0
barınak	gecekondu	0.038	2	0	0
başıboş	amaçsız	0	0	0.019	2
başıboş	dolaşmak	0	0	0.019	2
başıboş	gezmek	0.038	2	0.029	3
belge	karne	0	0	0.019	2
belge	sorumluluk	0	0	0.019	2
belge	tutanak	0	0	0.019	2
bilişim	gelişim	0.096	5	0	0
bilişim	suç	0.038	2	0.029	3
boğa	Kadıköy	0.058	3	0.038	4
boğa	kızgın	0.038	2	0.038	4
boğa	meydan	0	0	0.019	2
boğa	yarış	0	0	0.019	2
boğa	İspanya	0.058	3	0.057	6
büro	hukuk	0	0	0.086	9
büro	çalışmak	0.038	2	0	0
cevap	sonuç	0	0	0.019	2
