Cue	Set	Rank1	Rank2	Rank3	Rank4	Rank5	Rank6
açlık	1	0.283	0.172	0.091	0.091	0.051	0.04
açlık	2	0.152	0.152	0.057	0.048	0.038	0.038
açlık	3	0.231	0.135	0.096	0.038	0.038	0.038
alıntı	1	0.18	0.1	0.08	0.07	0.06	0.04
alıntı	2	0.143	0.095	0.086	0.057	0.048	0.038
alıntı	3	0.096	0.058	0.058	0.058	0.058	0.058
altın	1	0.16	0.15	0.09	0.08	0.08	0.07
altın	2	0.133	0.114	0.095	0.076	0.067	0.067
altın	3	0.192	0.077	0.077	0.058	0.058	0.058
asker	1	0.17	0.12	0.1	0.08	0.07	0.05
asker	2	0.105	0.095	0.076	0.067	0.057	0.038
asker	3	0.173	0.096	0.077	0.058	0.038	0.038
atom	1	0.21	0.15	0.14	0.07	0.06	0.05
atom	2	0.095	0.086	0.076	0.067	0.057	0.048
atom	3	0.192	0.115	0.096	0.096	0.096	0.077
avuç	1	0.52	0.2	0.05	0.03	0.03	0.03
avuç	2	0.486	0.048	0.038	0.038	0.029	0.019
avuç	3	0.442	0.038	0.038	0.038	0.038	0.019
ayıp	1	0.15	0.06	0.05	0.05	0.05	0.04
ayıp	2	0.095	0.086	0.076	0.048	0.048	0.038
ayıp	3	0.077	0.058	0.058	0.058	0.038	0.038
bacak	1	0.177	0.115	0.062	0.052	0.052	0.052
bacak	2	0.181	0.076	0.067	0.067	0.057	0.057
bacak	3	0.25	0.154	0.077	0.058	0.058	0.058
balık	1	0.17	0.11	0.06	0.05	0.05	0.05
balık	2	0.248	0.095	0.057	0.057	0.029	0.029
balık	3	0.154	0.115	0.096	0.077	0.058	0.038
barınak	1	0.31	0.28	0.08	0.05	0.04	0.04
barınak	2	0.267	0.219	0.19	0.048	0.019	0.019
barınak	3	0.25	0.231	0.212	0.038	0.038	0.038
başıboş	1	0.15	0.14	0.09	0.09	0.08	0.06
başıboş	2	0.114	0.086	0.076	0.067	0.057	0.048
başıboş	3	0.154	0.135	0.135	0.096	0.058	0.058
belge	1	0.23	0.08	0.08	0.06	0.06	0.03
belge	2	0.152	0.114	0.076	0.076	0.057	0.048
belge	3	0.154	0.135	0.096	0.096	0.058	0.058
bilişim	1	0.256	0.244	0.111	0.089	0.089	0.044
bilişim	2	0.276	0.19	0.076	0.057	0.038	0.029
bilişim	3	0.365	0.212	0.096	0.058	0.038	0.038
boğa	1	0.23	0.19	0.17	0.09	0.09	0.04
boğa	2	0.295	0.105	0.095	0.095	0.057	0.038
boğa	3	0.481	0.058	0.058	0.058	0.058	0.038
büro	1	0.24	0.2	0.13	0.03	0.03	0.03
büro	2	0.229	0.162	0.133	0.086	0.038	0.038
büro	3	0.346	0.096	0.096	0.058	0.058	0.038
çehre	1	0.56	0.09	0.04	0.04	0.03	0.03
çehre	2	0.571	0.067	0.067	0.038	0.029	0.029
çehre	3	0.538	0.077	0.058	0.058	0.038	0.038
cevap	1	0.606	0.091	0.061	0.03	0.02	0.02
cevap	2	0.6	0.133	0.029	0.019	0.01	0.01
cevap	3	0.615	0.154	0.058	0.019	0.019	0.019
çömlek	1	0.31	0.15	0.12	0.05	0.04	0.03
çömlek	2	0.286	0.105	0.057	0.057	0.057	0.048
çömlek	3	0.404	0.135	0.058	0.058	0.038	0.019
delik	1	0.11	0.1	0.08	0.06	0.06	0.05
delik	2	0.21	0.057	0.057	0.038	0.038	0.029
delik	3	0.115	0.096	0.077	0.038	0.038	0.038
